,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
0,Damian Lillard,58,36.9,28.9,9.2,20.0,45.7,3.9,9.9,39.4,6.7,7.6,88.8,0.5,3.8,4.3,7.8,1.0,0.4,2.9,27.8
1,James Harden,61,36.7,34.4,9.9,22.7,43.5,4.4,12.6,35.2,10.1,11.8,86.1,1.0,5.3,6.4,7.4,1.7,0.9,4.5,31.8
2,Kyle Lowry,52,36.6,19.7,5.9,14.3,41.7,2.9,8.3,35.4,4.9,5.7,86.1,0.6,4.3,4.8,7.7,1.3,0.4,3.0,21.9
3,Devin Booker,62,36.1,26.1,8.8,18.0,48.7,2.0,5.6,36.0,6.5,7.1,91.6,0.4,3.7,4.2,6.6,0.7,0.3,3.9,24.0
4,Bradley Beal,57,36.0,30.5,10.4,22.9,45.5,3.0,8.4,35.3,6.8,8.0,84.2,0.9,3.3,4.2,6.1,1.2,0.4,3.4,25.4
5,CJ McCollum,62,36.0,22.5,8.9,19.5,45.3,2.8,7.4,38.0,2.0,2.6,75.0,0.7,3.4,4.1,4.3,0.7,0.6,1.9,19.1
6,Russell Westbrook,53,35.9,27.5,10.7,22.6,47.4,1.0,3.8,25.4,5.1,6.5,77.7,1.8,6.3,8.0,7.0,1.7,0.3,4.5,26.7
7,Ben Simmons,54,35.8,16.7,6.7,11.4,58.5,0.0,0.1,33.3,3.3,5.3,62.7,2.0,5.8,7.8,8.2,2.1,0.6,3.6,25.2
8,Fred VanVleet,48,35.8,17.6,6.0,14.6,40.9,2.7,7.0,38.8,2.9,3.5,84.3,0.4,3.4,3.8,6.6,1.9,0.3,2.3,18.7
9,Pascal Siakam,53,35.5,23.6,8.7,18.9,45.9,2.2,6.0,35.9,4.2,5.2,80.0,1.1,6.5,7.5,3.6,1.0,0.9,2.5,23.0
10,Trae Young,60,35.3,29.6,9.1,20.8,43.7,3.4,9.5,36.1,8.0,9.3,86.0,0.5,3.7,4.3,9.3,1.1,0.1,4.8,26.6
11,Shai Gilgeous-Alexander,63,35.1,19.3,7.0,14.8,47.3,1.2,3.5,35.1,4.0,5.0,80.1,0.7,5.4,6.1,3.3,1.1,0.7,1.9,19.8
12,Devonte' Graham,63,35.1,18.2,5.8,15.3,38.2,3.5,9.3,37.3,3.0,3.7,82.0,0.7,2.7,3.4,7.5,1.0,0.2,2.9,17.3
13,Jrue Holiday,55,34.9,19.6,7.7,16.9,45.2,2.1,5.9,35.7,2.2,3.1,70.0,1.3,3.6,4.9,6.9,1.7,0.8,2.9,20.7
14,Harrison Barnes,64,34.9,14.7,5.1,11.1,45.9,1.5,3.8,38.3,3.1,3.8,80.3,1.0,3.8,4.8,2.4,0.6,0.2,1.3,14.6
15,LeBron James,60,34.9,25.7,9.8,19.6,49.8,2.2,6.4,34.9,4.0,5.7,69.7,1.0,6.9,7.9,10.6,1.2,0.5,4.0,30.4
16,Zach LaVine,60,34.8,25.5,9.0,20.0,45.0,3.1,8.1,38.0,4.5,5.6,80.2,0.7,4.1,4.8,4.2,1.5,0.5,3.4,21.0
17,Domantas Sabonis,62,34.8,18.5,7.4,13.7,54.0,0.3,1.1,25.4,3.5,4.8,72.3,3.0,9.4,12.4,5.0,0.8,0.5,2.7,26.8
18,Jayson Tatum,59,34.6,23.6,8.5,18.9,44.8,2.8,7.1,39.8,3.8,4.7,80.6,1.0,6.1,7.1,2.9,1.4,0.9,2.2,22.3
19,Kelly Oubre Jr.,56,34.5,18.7,6.7,14.8,45.2,1.9,5.5,35.2,3.4,4.4,78.0,1.2,5.3,6.4,1.5,1.3,0.7,1.5,18.1
20,Rudy Gobert,62,34.5,15.1,5.7,8.2,69.8,0.0,0.0,0.0,3.7,5.9,62.1,3.4,10.3,13.7,1.5,0.8,2.0,1.9,26.4
